TIPO;Família;Sub-Família;Segmento;Modelo Padrão;Modelo Comercial;Ano Fabricação Inicial;Ano Fabricação Final;Nivel de Emissões Inicial;Nivel de Emissões Final;TECNOLOGIA MOTOR;Motor;Motor Popular;Quantidade de Cilindros;Quantidade Lubrificante Motor;Epecificação Lubrificante Motor;LINHA;SUB LINHA;CÓDIGO LUBRIFICANTE MOTOR;Capacidade Sistema Arrefecimento;Caixa de Direção;Caixa de Marcha;Quantidade Lubrificante Caixa de Marcha;Epecificação Lubrificante Caixa de Marcha;Diferencial;Quantidade Lubrificante Diferencial;Epecificação Lubrificante Diferencial;TRAÇÃO
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;24-220;24.220;1991;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;15W40 CH-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;RD 23-145 / RS 23-145;12,3 / 15,5;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;24-220;24.220;mar/00;out/01;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;RD 23-145 / RS 23-145;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;24-250;24.250;1991;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;15W40 CH-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;RD 23-145 / RS 23-145;12,3 / 15,5;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;24-250;24.250;mar/00;out/01;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;RD 23-145 / RS 23-145;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;26-220;26.220;out/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;RD 23-145 / RS 23-145;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;26-260;26.260;out/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;CONJUNTO MT 46-165 MD 25-168 / 23-165/168 ;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;26-300;26.300;mar/00;out/01;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 11710B;12;SAE 50;CONJUNTO MT 46-165 MD 25-168 / 23-165/168 ;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;26-310;26.310;out/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 11710B;12;SAE 50;CONJUNTO MT 46-165 MD 25-168 / 23-165/168 ;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;31-260;31.260;out/04;dez/05;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 8908LL;13;SAE 50;MT 50-168 / RS 25-168;19 / 19;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;31-310;31.310;out/04;dez/05;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 8908LL;13;SAE 50;MT 50-168 / RS 25-168;19 / 19;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Semi-Pesados;35-300;35.300;1985;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;23,8;15W40 CH-4;VW;SH;G052824Q2;;;RT 8609A;7;SAE 50;RS 23-155;21;85W140 GL-5;6X4
CAMINHÃO;Produzidos até 2005;;Pesados;18-310;18.310;jan/02;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 8908LL;13;SAE 50;MT 50-168 / RS 25-168;19 / 19;85W140 GL-5;4X2
CAMINHÃO;Produzidos até 2005;;Pesados;40-300;40.300;1985;fev/00;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 11710B;12;SAE 50;RS 23-160;21;85W140 GL-5;4X2
CAMINHÃO;Produzidos até 2005;;Pesados;40-300;40.300;mar/00;out/01;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CH-4;VW;SH;G052824Q2;;;RT 11710B;12;SAE 50;RS 23-160;21;85W140 GL-5;4X2
CAMINHÃO;Delivery;E;Leve;5-140;5.140 E;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM TCE 4.08;SPRINT;4;8,5;15W40 CI-4;VW;SH;G052824Q2;;;FS 2305 C;3,5;SAE 80W90 GL-4;DANA M267;3,2;85W140 GL-5;4X2
CAMINHÃO;Delivery;E;Leve;8-150;8.150 E;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM TCE 4.08;SPRINT;4;8,5;15W40 CI-4;VW;SH;G052824Q2;;;FSO 4405C;4,6;SAE 80W90 GL-4;DANA M284;3,8;85W140 GL-5;4X2
CAMINHÃO;Delivery;E Plus;Leve;8-150;8.150 E Plus;mai/10;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;9,3;15W40 CI-4;VW;SH;G052824Q2;;;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA M284;3,8;85W140 GL-5;4X2
CAMINHÃO;Delivery;;Leve;9-150;9.150;mai/10;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;9,3;15W40 CI-4;VW;SH;G052824Q2;;;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;MS 13-113 HD;6,8;85W140 GL-5;4X2
